,DTEXCLUD,DT_EXCLUD_removed,DNORC,FV,$OUTLINE,PC_100:boundary,FIND_EC_02,CHIPEDGE,GUARDEDG,NAME,CHIPNAME,DIRRX,DIRDT,DIRPC,DIRCA,DIRV1,DIRV2,DIRV3,DIRV4,DIRCB,DIRW0,DIRW1,DIRYY,DIRCT,DIRM1,DIRM2,DIRM3,DIRM4,DIRM5,DIRB1,DIRB2,DIRI1
ADD_VX_excludK8_KREACHER_B128,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
0_BALLACK_TEG7pci_v2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MG_c4_dummy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
bpp2_padcage,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",None,PC_100:boundary,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
0_BALLACK_TEG7_gSide,None,None,None,None,None,None,None,CHIPEDGE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PfHvtA_2,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SX_C_A1,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SX_C_A3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PfAvtA_2,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
RX_Serp_Canyon_M1,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
